год,Сальдо прибылей и убытков,В % к соответствующему периоду предыдущего года,Сумма прибыли,Удельный вес прибыльных организаций, %,Сумма убытка,Удельный вес убыточных организаций, %,
1995,251,в 2,6р.,288,65,8,37,34,2,
1996,125,49,9,239,49,4,114,50,6,
1997,174,139,2,309,49,9,135,50,1,
1998,-115,-,358,46,8,473,53,2,
1999,723,-,885,59,2,162,40,8,
2000,1191,164,6,1361,60,2,170,39,8,
2001,1141,95,9,1358,62,1,217,37,9,
2002,923,80,9,1273,56,5,350,43,5,
2003,1456,157,7,1816,57,0,360,43,0,
2004,2485,170,7,2778,61,9,293,38,1,
2005,3226,129,8,3674,63,6,448,36,4,
2006,5722,177,4,6085,67,5,363,32,5,
2007,6041,105,6,6412,74,5,371,25,5,
2008,3801,69,1,5354,71,7,1553,28,3,
2009,4432,124,1,5852,68,0,1420,32,0,
2010,6331,144,1,7353,70,1,1022,29,9,
2011,7140,114,2,8794,70,0,1654,30,0,
2012,7824,110.8,9213,70,9,1389,29,1,
2013,6854,82,7,9519,69,0,2665,31,0,
2014,4347,68,2,10465,67,0,6118,33,0,
2015,7503,173,6,12654,67,4,5151,32,6,
2016,12801,157,0,15823,70,5,3022,29,5,
2017,9037,69,5,14079,68,1,5042,31,9,
2018,12400,159,6,18332,66,9,5932,33,1,
2019*,15758,117,5,17696,73,5,1938,26,5,
